1	0	0	0	0.605	-0.3	0.3	0	0	0	0	0	0	0.399758	1.1409	-0.861105	-1.4057	-1.01608	1.01304	2.22058	0	0	0	0	0	0	0	
1.00002	-2.61977e-09	-5.67427e-06	3.95087e-05	0.605007	-0.300014	0.29999	-0.0150967	0.0315994	0.00460345	0.00444606	-0.00554146	-0.00407954	0.399796	1.14096	-0.861284	-1.40561	-1.01577	1.01285	2.22027	0.0151523	0.023697	-0.0717999	0.0336825	0.124104	-0.0743084	-0.125306	
1.00004	-5.23953e-09	-1.13485e-05	7.90175e-05	0.605014	-0.300028	0.29998	-0.0301933	0.0631987	0.00920691	0.00889211	-0.0110829	-0.00815908	0.399834	1.14102	-0.861464	-1.40553	-1.01546	1.01267	2.21996	0.0303046	0.0473939	-0.1436	0.067365	0.248208	-0.148617	-0.250613	
1.00006	-7.8593e-09	-1.70228e-05	0.000118526	0.605021	-0.300042	0.299969	-0.04529	0.0947981	0.0138104	0.0133382	-0.0166244	-0.0122386	0.399872	1.14108	-0.861643	-1.40544	-1.01515	1.01248	2.21965	0.0454569	0.0710909	-0.2154	0.101047	0.372313	-0.222925	-0.375919	
1.00008	-1.04791e-08	-2.26971e-05	0.000158035	0.605028	-0.300056	0.299959	-0.0603867	0.126397	0.0184138	0.0177842	-0.0221658	-0.0163182	0.39991	1.14114	-0.861822	-1.40536	-1.01484	1.0123	2.21933	0.0606093	0.0947878	-0.2872	0.13473	0.496417	-0.297234	-0.501225	
1.00009	-1.30988e-08	-2.83713e-05	0.000197544	0.605036	-0.300069	0.299949	-0.0754834	0.157997	0.0230173	0.0222303	-0.0277073	-0.0203977	0.399947	1.1412	-0.862002	-1.40528	-1.01453	1.01211	2.21902	0.0757616	0.118485	-0.358999	0.168412	0.620521	-0.371542	-0.626532	
1.00011	-1.57186e-08	-3.40456e-05	0.000237052	0.605043	-0.300083	0.299939	-0.09058	0.189596	0.0276207	0.0266763	-0.0332488	-0.0244772	0.399985	1.14126	-0.862181	-1.40519	-1.01423	1.01192	2.21871	0.0909139	0.142182	-0.430799	0.202095	0.744625	-0.445851	-0.751838	
1.00013	-1.83384e-08	-3.97199e-05	0.000276561	0.60505	-0.300097	0.299929	-0.105677	0.221196	0.0322242	0.0311224	-0.0387902	-0.0285568	0.400023	1.14132	-0.862361	-1.40511	-1.01392	1.01174	2.21839	0.106066	0.165879	-0.502599	0.235777	0.86873	-0.520159	-0.877144	
1.00015	-2.09581e-08	-4.53941e-05	0.00031607	0.605057	-0.300111	0.299918	-0.120773	0.252795	0.0368276	0.0355684	-0.0443317	-0.0326363	0.400061	1.14138	-0.86254	-1.40502	-1.01361	1.01155	2.21808	0.121219	0.189576	-0.574399	0.26946	0.992834	-0.594468	-1.00245	
1.00017	-2.35779e-08	-5.10684e-05	0.000355579	0.605064	-0.300125	0.299908	-0.13587	0.284394	0.0414311	0.0400145	-0.0498731	-0.0367159	0.400099	1.14144	-0.862719	-1.40494	-1.0133	1.01137	2.21777	0.136371	0.213273	-0.646199	0.303142	1.11694	-0.668776	-1.12776	
1.00019	-2.61977e-08	-5.67427e-05	0.000395087	0.605071	-0.300139	0.299898	-0.150967	0.315994	0.0460345	0.0444606	-0.0554146	-0.0407954	0.400137	1.1415	-0.862899	-1.40486	-1.01299	1.01118	2.21746	0.151523	0.23697	-0.717999	0.336825	1.24104	-0.743084	-1.25306	
1.00024	-5.15108e-08	-8.13921e-05	0.000501738	0.60511	-0.300174	0.299866	-0.159118	0.33794	0.0570789	0.051365	-0.0581802	-0.0452671	0.400217	1.14163	-0.863321	-1.40464	-1.01223	1.0107	2.21666	0.153243	0.242868	-0.743343	0.354342	1.29742	-0.785609	-1.32184	
1.00028	-7.68239e-08	-0.000106042	0.000608389	0.60515	-0.300209	0.299835	-0.167269	0.359887	0.0681232	0.0582694	-0.0609457	-0.0497388	0.400297	1.14176	-0.863743	-1.40443	-1.01147	1.01022	2.21586	0.154963	0.248766	-0.768687	0.371858	1.35379	-0.828135	-1.39062	
1.00033	-1.02137e-07	-0.000130691	0.00071504	0.605189	-0.300243	0.299803	-0.17542	0.381833	0.0791675	0.0651738	-0.0637113	-0.0542105	0.400378	1.1419	-0.864166	-1.40422	-1.0107	1.00974	2.21506	0.156682	0.254664	-0.79403	0.389375	1.41016	-0.87066	-1.45941	
1.00038	-1.2745e-07	-0.00015534	0.000821691	0.605229	-0.300278	0.299772	-0.183571	0.40378	0.0902119	0.0720782	-0.0664769	-0.0586822	0.400458	1.14203	-0.864588	-1.40401	-1.00994	1.00927	2.21426	0.158402	0.260562	-0.819374	0.406892	1.46654	-0.913185	-1.52819	
1.00043	-1.52763e-07	-0.00017999	0.000928342	0.605268	-0.300313	0.29974	-0.191722	0.425726	0.101256	0.0789826	-0.0692424	-0.0631539	0.400538	1.14216	-0.86501	-1.40379	-1.00918	1.00879	2.21347	0.160122	0.26646	-0.844718	0.424408	1.52291	-0.95571	-1.59697	
1.00047	-1.78076e-07	-0.000204639	0.00103499	0.605307	-0.300348	0.299708	-0.199873	0.447672	0.112301	0.085887	-0.072008	-0.0676256	0.400618	1.14229	-0.865432	-1.40358	-1.00842	1.00831	2.21267	0.161841	0.272358	-0.870062	0.441925	1.57928	-0.998235	-1.66575	
1.00052	-2.0339e-07	-0.000229289	0.00114164	0.605347	-0.300382	0.299677	-0.208024	0.469619	0.123345	0.0927914	-0.0747735	-0.0720973	0.400698	1.14243	-0.865855	-1.40337	-1.00766	1.00783	2.21187	0.163561	0.278256	-0.895406	0.459442	1.63566	-1.04076	-1.73453	
