-0.204493	0.535479	0.158702	-0.755605	-1.04429	0.93287	1.4355	-0.424313	1	0.433129	-2	-2.2	2.47082	2.5	1.87109	-15	-2.86516	15	-12.738	-10.2979	-2.00042	
-0.208702	0.5535	0.16301	-0.777874	-1.07074	0.957225	1.47173	-0.414446	1	0.418775	-2	-2.2	2.39696	2.5	2.83513	-15	-1.92199	15	-12.253	-10.0441	-1.68758	
-0.212814	0.571187	0.167173	-0.79968	-1.09661	0.98085	1.50713	-0.404971	1	0.404849	-2	-2.2	2.32476	2.5	3.66299	-15	-1.07456	15	-11.82	-9.85212	-1.2906	
-0.216827	0.588569	0.171199	-0.820965	-1.12194	1.00377	1.54172	-0.395023	1	0.39169	-2	-2.2	2.25664	2.5	4.3627	-15	-0.236132	15	-11.2781	-9.57581	-0.929327	
-0.220743	0.605679	0.175094	-0.841663	-1.14671	1.02603	1.57551	-0.385542	1	0.379277	-2	-2.2	2.19046	2.5	4.94195	-15	0.623676	15	-10.5762	-9.23635	-0.57867	
-0.224567	0.622521	0.178864	-0.861775	-1.17093	1.04762	1.60852	-0.37663	1	0.367252	-1.98122	-2.2	2.12623	2.5	5.37333	-15	1.50494	15	-9.67573	-8.84756	-0.250144	
-0.228299	0.63909	0.1825	-0.881311	-1.19453	1.06859	1.64078	-0.367441	1	0.353124	-1.92445	-2.2	2.06352	2.5	5.80731	-15	2.19142	15	-9.09193	-8.48083	-0.00488023	
-0.23194	0.655383	0.185999	-0.900288	-1.21746	1.08894	1.67228	-0.358699	1	0.340423	-1.86926	-2.2	2.00286	2.5	6.16928	-15	2.7632	15	-8.61519	-8.11627	0.166161	
-0.235494	0.671406	0.189373	-0.91872	-1.23973	1.10869	1.70306	-0.350112	1	0.328574	-1.8155	-2.19214	1.94404	2.5	6.45804	-15	3.25395	15	-8.19352	-7.75227	0.287115	
-0.238962	0.687163	0.19263	-0.936621	-1.26134	1.12786	1.73315	-0.341607	1	0.317355	-1.76325	-2.12844	1.887	2.5	6.68374	-15	3.67914	15	-7.81009	-7.391	0.369431	
-0.242345	0.70266	0.195774	-0.954007	-1.28233	1.14646	1.76257	-0.333143	1	0.306637	-1.71262	-2.06672	1.83171	2.5	6.85741	-15	4.04565	15	-7.46333	-7.03433	0.41258	
-0.245643	0.717902	0.198812	-0.970896	-1.30271	1.16452	1.79134	-0.324692	1	0.296307	-1.66374	-2.00717	1.77812	2.5	6.98406	-15	4.35434	15	-7.16126	-6.68418	0.399564	
-0.248855	0.732895	0.201746	-0.987307	-1.32251	1.18206	1.81947	-0.316293	1	0.286282	-1.61689	-1.94996	1.72615	2.5	7.03034	-15	4.61089	15	-6.89909	-6.34848	0.266807	
