idx, time, cost
1, 2391.7576019763947, 3358920.816384651
2, 2392.415978908539, 2748704.314166576
3, 2990.6984837055206, 1722984.000034384
4, 2991.3569424152374, 1525266.9894192002
5, 3590.7995784282684, 2739887.7815734735
6, 3591.651092529297, 2185064.8045822955
7, 4178.13626909256, 1787267.5483567435
8, 4178.800652265549, 1182987.1343512582
